base,before_start_x,before_start_y,before_end_x,before_end_y,after_start_x,after_start_y,after_end_x,after_end_y
b,0,45,40,45,160,160,160,200
c,0,45,40,45,160,160,160,200
d,0,45,40,45,160,185,160,200
f,0,45,40,45,160,160,160,200
g,0,45,40,45,160,160,160,200
j,0,45,40,45,160,160,160,200
k,0,45,40,45,160,160,160,200
l,0,45,40,45,160,160,160,200
m,0,45,40,45,160,160,160,200
n,0,45,40,45,160,160,160,200
p,0,45,40,45,160,160,160,200
q,0,45,40,45,160,160,160,200
r,0,45,40,45,160,160,160,200
s,0,45,5,45,160,195,160,200
t,0,45,40,45,160,195,160,200
v,0,45,40,45,160,160,160,200
w,0,45,40,45,160,160,160,200
x,0,45,40,45,160,160,160,200
y,0,45,40,45,160,160,160,200
z,0,45,5,45,160,195,160,200
blank,0,45,40,45,160,160,160,200
